Feature,Gain,Cover,Frequency
short_name,0.5504251930269873,0.27595166674946237,0.10638297872340426
tsi,0.31808819599394805,0.28264938008301627,0.2047872340425532
index.num,0.0239103484110363,0.055141038928564014,0.125
humidity,0.02188419740641004,0.07353640207696133,0.10106382978723404
temperature,0.02160720599617483,0.026094086065947243,0.06648936170212766
hour,0.013438988812575207,0.04184607281851796,0.047872340425531915
hour12,0.010295488723923796,0.022298518280390922,0.034574468085106384
yday,0.010023944039734362,0.06777433870806521,0.07446808510638298
day,0.006840575983506158,0.03789270183729309,0.05053191489361702
weedspeed,0.006321881101656448,0.034192568134402614,0.05053191489361702
winddirection,0.005208100158066305,0.022180751041683596,0.0425531914893617
qday,0.005083699586064696,0.028207637828224875,0.04521276595744681
wday,0.003161444161852578,0.011050437203225346,0.023936170212765957
pressure,0.0028691385521747185,0.020731142052435918,0.02127659574468085
month,4.450246768945493e-4,2.3159708003742135e-4,0.0026595744680851063
half,3.965733689946315e-4,2.2166111177186892e-4,0.0026595744680851063
