iter,train_rmse,valid_rmse,eta,max_depth,min_child_weight,gamma,subsample,colsample_bytree,eval_metric,objective,seed,nfold,nthread,silent
174,3.05014,3.125752,0.3,5,30,1,0.5,0.5,rmse,reg:tweedie,123,30,8,1
193,2.861026,3.004228,0.3,7,30,1,0.5,0.5,rmse,reg:tweedie,123,30,8,1
193,2.71774,2.908195,0.3,10,30,1,0.5,0.5,rmse,reg:tweedie,123,30,8,1
200,3.014616,3.09038,0.3,5,35,1,0.5,0.5,rmse,reg:tweedie,123,30,8,1
198,2.864217,2.994726,0.3,7,35,1,0.5,0.5,rmse,reg:tweedie,123,30,8,1
189,2.682856,2.879162,0.3,10,35,1,0.5,0.5,rmse,reg:tweedie,123,30,8,1
174,3.04555,3.092842,0.3,5,40,1,0.5,0.5,rmse,reg:tweedie,123,30,8,1
199,2.847151,2.974558,0.3,7,40,1,0.5,0.5,rmse,reg:tweedie,123,30,8,1
197,2.689893,2.918881,0.3,10,40,1,0.5,0.5,rmse,reg:tweedie,123,30,8,1
200,3.192567,3.218779,0.3,5,30,2,0.5,0.5,rmse,reg:tweedie,123,30,8,1
93,3.118918,3.149238,0.3,7,30,2,0.5,0.5,rmse,reg:tweedie,123,30,8,1
185,2.974988,3.053693,0.3,10,30,2,0.5,0.5,rmse,reg:tweedie,123,30,8,1
70,3.221946,3.231673,0.3,5,35,2,0.5,0.5,rmse,reg:tweedie,123,30,8,1
98,3.076758,3.107002,0.3,7,35,2,0.5,0.5,rmse,reg:tweedie,123,30,8,1
181,2.995322,3.082213,0.3,10,35,2,0.5,0.5,rmse,reg:tweedie,123,30,8,1
55,3.269516,3.269009,0.3,5,40,2,0.5,0.5,rmse,reg:tweedie,123,30,8,1
145,3.07112,3.122818,0.3,7,40,2,0.5,0.5,rmse,reg:tweedie,123,30,8,1
191,3.011059,3.080733,0.3,10,40,2,0.5,0.5,rmse,reg:tweedie,123,30,8,1
135,3.303173,3.298378,0.3,5,30,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
99,3.212078,3.216164,0.3,7,30,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
112,3.157769,3.173255,0.3,10,30,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
77,3.339572,3.317426,0.3,5,35,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
128,3.257996,3.245831,0.3,7,35,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
98,3.131607,3.153632,0.3,10,35,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
121,3.3301,3.310081,0.3,5,40,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
164,3.200361,3.202865,0.3,7,40,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
104,3.163605,3.16528,0.3,10,40,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
