Feature,Gain,Cover,Frequency
tsi,0.46192357645555193,0.1797169446014174,0.13765182186234817
short_name,0.45450772322611094,0.03190411831850402,0.13846153846153847
temperature,0.016026629708518987,0.10975735274796619,0.08906882591093117
mix_14,0.014219118301588136,0.0412612531957312,0.044534412955465584
week,0.00980082357494598,0.060899531407580615,0.08340080971659919
hour,0.009455503912589425,0.025870298085682277,0.034817813765182185
humidity,0.0069475859513920485,0.04573159849620306,0.04696356275303644
mix_12,0.005786245259082119,0.07564506539843822,0.05344129554655871
month,0.0043876479637888184,0.02604568313046172,0.02834008097165992
tsi_2,0.002809138189923519,0.09180378879472358,0.06558704453441296
mix_15,0.002171103104622582,0.0807590315768206,0.05506072874493927
year,0.002037078452267404,0.002581961436962284,0.0072874493927125505
winddirection,0.0018576331119333428,0.04129320747846539,0.04048582995951417
pressure,0.0017852079850524962,0.03897539682943583,0.03805668016194332
mix_13,0.0013891902889499948,0.04768679900725002,0.034817813765182185
mix_11,0.0012071606719365917,0.034967713538129476,0.026720647773279354
weedspeed,0.0011744180774312762,0.010989192078370597,0.02186234817813765
humidity_2,0.0010329737242508316,0.020712953016437552,0.021052631578947368
temperature_2,8.44521413136428e-4,0.012915346388752342,0.014574898785425101
pressure_2,3.3833930389601437e-4,0.0026361763955340583,0.006477732793522267
weedspeed_2,2.5783834236479725e-4,0.012780051332495322,0.008906882591093117
minute,4.054298066637389e-5,0.005066536744638232,0.0024291497975708503
