iter,train_rmse,valid_rmse,eta,max_depth,min_child_weight,gamma,subsample,colsample_bytree,eval_metric,objective,seed,nfold,nthread,silent
92,3.1344,3.162446,0.3,9,38,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
177,3.083454,3.125525,0.3,10,38,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
112,3.071439,3.113326,0.3,11,38,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
92,3.1344,3.162446,0.3,9,40,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
177,3.083454,3.125525,0.3,10,40,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
112,3.071439,3.113326,0.3,11,40,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
187,3.100002,3.137859,0.3,9,42,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
177,3.083454,3.125525,0.3,10,42,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
186,3.02465,3.073976,0.3,11,42,2.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
66,3.212823,3.20803,0.3,9,38,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
127,3.15648,3.171898,0.3,10,38,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
84,3.176726,3.18706,0.3,11,38,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
66,3.212823,3.20803,0.3,9,40,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
127,3.15648,3.171898,0.3,10,40,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
84,3.176726,3.18706,0.3,11,40,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
147,3.163823,3.179481,0.3,9,42,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
127,3.15648,3.171898,0.3,10,42,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
84,3.176726,3.18706,0.3,11,42,3,0.5,0.5,rmse,reg:tweedie,123,30,8,1
116,3.225899,3.225382,0.3,9,38,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
147,3.181257,3.200347,0.3,10,38,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
91,3.198953,3.212984,0.3,11,38,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
116,3.225899,3.225382,0.3,9,40,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
147,3.181257,3.200347,0.3,10,40,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
91,3.198953,3.212984,0.3,11,40,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
116,3.225899,3.225382,0.3,9,42,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
147,3.181257,3.200347,0.3,10,42,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
91,3.198953,3.212984,0.3,11,42,3.5,0.5,0.5,rmse,reg:tweedie,123,30,8,1
